kind,index,x,y,z,is_boundary,cache_steps,c_exact,w
coarse,247,-0.4089710712,-0.7153013945,-0.5574116111,0,8,-0.3443987478,
coarse,248,0.3607294261,-0.8277288079,-0.3235320747,0,8,-0.5550092606,
coarse,249,0.9178732634,0.2492040545,0.3438487053,0,8,0.7803886668,
coarse,250,0.4131088257,0.2061143816,-0.3619340062,0,8,0.1281757636,
coarse,251,0.160974741,0.8637516499,-0.2743547559,0,8,-0.7201540454,
coarse,252,0.0673558861,0.8172463179,0.1037093848,0,8,-0.6633547287,
coarse,253,0.04573114216,-0.9698949456,-0.1397239417,0,8,-0.9386048682,
coarse,254,0.8954991698,0.4189153314,-0.1401546896,0,8,0.6264287083,
coarse,255,0.7849441767,-0.5216363072,0.1212137491,0,8,0.3440329235,
coarse,256,-0.6019654274,-0.003860103898,-0.8085361123,0,8,0.3623474754,
coarse,257,0.210229069,0.5989598632,0.7355517149,0,8,-0.3145566563,
coarse,258,0.6260480285,-0.7154958248,0.2296724468,0,8,-0.1199981414,
coarse,259,0.5308858752,0.4573803246,-0.3195768893,0,8,0.07264305118,
coarse,260,-0.2362463474,-0.4283817112,-0.8238156438,0,8,-0.1276985539,
coarse,261,-0.8316719532,-0.02085565403,-0.4721037149,0,8,0.6912432794,
coarse,262,-0.55643785,-0.4642810225,0.6236467957,0,8,0.09406621301,
coarse,263,-0.09544021636,0.8296173811,0.3485941291,0,8,-0.6791561641,
coarse,264,-0.387057066,0.5299779773,-0.4318241775,0,8,-0.1310634841,
coarse,265,-0.738905251,-0.2683468163,0.6048902869,0,8,0.4739709562,
coarse,266,-0.4333639145,0.4253188372,-0.2705984712,0,8,0.006908169134,
coarse,267,-0.2829845846,-0.1162292659,0.9266606569,0,8,0.06657103285,
coarse,268,0.217322737,-0.5317459702,-0.5232083201,0,8,-0.2355246049,
coarse,269,-0.4222046435,0.8999483585,-0.2360110581,0,8,-0.631650287,
coarse,270,0.2279424071,0.8937451839,0.3662340939,0,8,-0.7468227129,
coarse,271,0.3896717429,0.4580398798,-0.2093411982,0,8,-0.05795646426,
coarse,272,0.8951336145,0.2102992684,0.05703056604,0,8,0.7570384056,
coarse,273,0.7759466767,0.4750958383,-0.3760480285,0,8,0.3763771896,
coarse,274,0.4884700179,0.03623721004,0.2702971697,0,8,0.237289823,
